week,topic,activity,momentum
2024-11-25,Economics & Finance,1,1.9999998200000109
2024-12-02,Economics & Finance,0,0.49999991000000543
2024-12-09,Economics & Finance,0,0.49999991000000543
2024-12-16,Economics & Finance,0,0.49999991000000543
2024-12-23,Economics & Finance,0,-1.0
2024-12-30,Economics & Finance,0,-1.0
2025-01-06,Economics & Finance,0,-1.0
2025-01-13,Economics & Finance,0,-1.0
2025-01-20,Economics & Finance,0,-1.0
2025-01-27,Economics & Finance,0,-1.0
2025-02-03,Economics & Finance,0,-1.0
2025-02-10,Economics & Finance,0,-1.0
2025-02-17,Economics & Finance,0,-1.0
2025-02-24,Economics & Finance,0,-1.0
2025-03-03,Economics & Finance,0,-1.0
2025-03-10,Economics & Finance,0,-1.0
2025-03-17,Economics & Finance,0,-1.0
2025-03-24,Economics & Finance,0,-1.0
2025-03-31,Economics & Finance,0,-1.0
2025-04-07,Economics & Finance,0,-1.0
2025-04-14,Economics & Finance,0,-1.0
2025-04-21,Economics & Finance,0,-1.0
2025-04-28,Economics & Finance,0,-1.0
2025-05-05,Economics & Finance,0,-1.0
2025-05-12,Economics & Finance,0,-1.0
2025-05-19,Economics & Finance,0,-1.0
2025-05-26,Economics & Finance,0,-1.0
2025-06-02,Economics & Finance,0,-1.0
2025-06-09,Economics & Finance,0,-1.0
2025-06-16,Economics & Finance,0,-1.0
2025-06-23,Economics & Finance,0,-1.0
2025-06-30,Economics & Finance,0,-1.0
2025-07-07,Economics & Finance,0,-1.0
2025-07-14,Economics & Finance,0,-1.0
2025-07-21,Economics & Finance,0,-1.0
2025-07-28,Economics & Finance,0,-1.0
2025-08-04,Economics & Finance,0,-1.0
2025-08-11,Economics & Finance,0,-1.0
2025-08-18,Economics & Finance,0,-1.0
2025-08-25,Economics & Finance,0,-1.0
2025-09-01,Economics & Finance,0,-1.0
2025-09-08,Economics & Finance,0,-1.0
2025-09-15,Economics & Finance,0,-1.0
2025-09-22,Economics & Finance,0,-1.0
2025-09-29,Economics & Finance,0,-1.0
2025-10-06,Economics & Finance,0,-1.0
2025-10-13,Economics & Finance,0,-1.0
2025-10-20,Economics & Finance,0,-1.0
2025-10-27,Economics & Finance,0,-1.0
2025-11-03,Economics & Finance,0,-1.0
2025-11-10,Economics & Finance,0,-1.0
2025-11-17,Economics & Finance,0,-1.0
2025-11-24,Economics & Finance,0,-1.0
2025-12-01,Economics & Finance,0,-1.0
2025-12-08,Economics & Finance,0,-1.0
2025-12-15,Economics & Finance,0,-1.0
2025-12-22,Economics & Finance,0,-1.0
2025-12-29,Economics & Finance,0,-1.0
2026-01-05,Economics & Finance,0,-1.0
2026-01-12,Economics & Finance,0,-1.0
2026-01-19,Economics & Finance,0,-1.0
2026-01-26,Economics & Finance,0,-1.0
2026-02-02,Economics & Finance,0,-1.0
2026-02-09,Economics & Finance,2,1.9999998200000109
2026-02-16,Economics & Finance,1,1.9999998800000047
2026-02-23,Economics & Finance,1,1.9999999100000028
2026-03-02,Economics & Finance,0,1.9999999100000028
2026-03-09,Economics & Finance,0,0.4999999550000014
2026-03-16,Economics & Finance,1,0.19999997120000068
2026-03-23,Economics & Finance,0,-0.40000001439999966
2026-03-30,Economics & Finance,0,-0.40000001439999966
2026-04-06,Economics & Finance,0,-0.40000001439999966
2026-04-13,Economics & Finance,0,-1.0
2026-04-20,Economics & Finance,0,-1.0
2026-04-27,Economics & Finance,0,-1.0
2026-05-04,Economics & Finance,0,-1.0
2026-05-11,Economics & Finance,0,-1.0
2026-05-18,Economics & Finance,0,-1.0
2026-05-25,Economics & Finance,0,-1.0
2026-06-01,Economics & Finance,0,-1.0
2026-06-08,Economics & Finance,0,-1.0
2026-06-15,Economics & Finance,0,-1.0
2026-06-22,Economics & Finance,0,-1.0
2026-06-29,Economics & Finance,0,-1.0
2022-10-03,Education,0,
2022-10-10,Education,0,
2022-10-17,Education,0,
2022-10-24,Education,0,
2022-10-31,Education,0,
2022-11-07,Education,0,
2022-11-14,Education,0,
2022-11-21,Education,0,
2022-11-28,Education,0,
2022-12-05,Education,0,
2022-12-12,Education,0,
2022-12-19,Education,0,-1.0
2022-12-26,Education,0,-1.0
2023-01-02,Education,0,-1.0
2023-01-09,Education,0,-1.0
2023-01-16,Education,0,-1.0
2023-01-23,Education,2,1.9999998200000109
2023-01-30,Education,0,1.9999998200000109
2023-02-06,Education,0,1.9999998200000109
2023-02-13,Education,0,1.9999998200000109
2023-02-20,Education,0,-1.0
2023-02-27,Education,0,-1.0
2023-03-06,Education,0,-1.0
2023-03-13,Education,0,-1.0
2023-03-20,Education,1,-3.999999842463353e-08
2023-03-27,Education,0,-3.999999842463353e-08
2023-04-03,Education,0,-3.999999842463353e-08
2023-04-10,Education,0,-3.999999842463353e-08
2023-04-17,Education,0,-1.0
2023-04-24,Education,0,-1.0
2023-05-01,Education,0,-1.0
2023-05-08,Education,0,-1.0
2023-05-15,Education,0,-1.0
2023-05-22,Education,0,-1.0
2023-05-29,Education,0,-1.0
2023-06-05,Education,0,-1.0
2023-06-12,Education,0,-1.0
2023-06-19,Education,0,-1.0
2023-06-26,Education,0,-1.0
2023-07-03,Education,0,-1.0
2023-07-10,Education,0,-1.0
2023-07-17,Education,0,-1.0
2023-07-24,Education,0,-1.0
2023-07-31,Education,0,-1.0
2023-08-07,Education,0,-1.0
2023-08-14,Education,0,-1.0
2023-08-21,Education,0,-1.0
2023-08-28,Education,0,-1.0
2023-09-04,Education,0,-1.0
2023-09-11,Education,0,-1.0
2023-09-18,Education,0,-1.0
2023-09-25,Education,0,-1.0
2023-10-02,Education,0,-1.0
2023-10-09,Education,0,-1.0
2023-10-16,Education,0,-1.0
2023-10-23,Education,0,-1.0
